machine_identifier,start_ts,end_ts,duration_in_s,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-06T11:51:03.824Z,2022-05-06T11:52:36.893Z,93.069,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-06T12:32:57.620Z,2022-05-06T12:33:27.842Z,30.222,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T12:50:24.156Z,2022-05-06T12:52:30.673Z,126.517,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-06T13:08:17.417Z,2022-05-06T13:10:23.222Z,125.805,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-06T13:26:58.706Z,2022-05-06T13:28:28.488Z,89.782,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-06T13:35:41.123Z,2022-05-06T13:41:05.545Z,324.422,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-06T13:43:21.938Z,2022-05-06T13:44:56.620Z,94.682,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-06T15:07:40.968Z,2022-05-06T15:09:25.153Z,104.185,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-06T15:56:15.214Z,2022-05-06T15:57:22.894Z,67.68,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T15:57:58.555Z,2022-05-06T15:58:23.443Z,24.888,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T15:58:47.931Z,2022-05-06T15:58:57.496Z,9.565,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T15:59:09.470Z,2022-05-06T16:00:26.800Z,77.33,318.1.266.0.1331.4.1.0,318,1,0,1331
innovative_cheese_machine,2022-05-06T16:03:22.513Z,2022-05-06T16:03:54.270Z,31.757,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T16:04:08.777Z,2022-05-06T16:04:17.302Z,8.525,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T16:45:17.720Z,2022-05-06T16:46:00.520Z,42.8,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T16:46:15.320Z,2022-05-06T16:47:12.828Z,57.508,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T16:47:27.336Z,2022-05-06T16:48:11.932Z,44.596,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T16:56:04.856Z,2022-05-06T16:56:40.177Z,35.321,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T16:56:54.693Z,2022-05-06T16:57:31.513Z,36.82,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T16:57:46.250Z,2022-05-06T17:10:39.254Z,773.004,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:10:53.774Z,2022-05-06T17:12:27.675Z,93.901,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:12:51.543Z,2022-05-06T17:13:20.790Z,29.247,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:13:34.599Z,2022-05-06T17:13:48.159Z,13.56,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:14:02.675Z,2022-05-06T17:16:30.933Z,148.258,20.0.625.0.2300.0.0.0,20,0,0,2300
